Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Børnebiffen Ebeltoft, boernebiffenebeltoft;63;45;18;500;7;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Frederikshavn Badminton, fbk;900;900;0;17700;48;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Hobro, kod-hobro;1398;0;1398;27050;56;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Svømmeklubben SMUT, svoemmeklubben-smut;14247;14247;0;189000;555;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hjørring Inner Wheel Klub, hjoerring-inner-wheel;1472;0;1472;28000;70;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Myggens, myggens;5093;0;5093;103597;212;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Randers, kod-randers;2256;0;2256;42000;114;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Loreal, loreal;0;0;0;0;808;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Footwerk Dance Studio, footwerk;9843;9843;0;276040;133;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Svendborg Jagtforening, jagt;1750;0;1750;42000;12;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Haderslev, kod-haderslev;60;0;60;1200;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Ebberup, kod-ebberup;610;0;610;11700;26;;;;;;;;;;;;;;;;;;;;;
2025.01.01;GymHelsinge, gymdanmark-gymhelsinge;30159;0;30159;414440;3327;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filmklubben Hanen & Hønen, filmklubben-hanen-hoene;9;9;0;100;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Odense, kod-odense;2146;0;2146;39150;107;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Bag Hvert Skridt, baghvertskridt;18;18;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Korsør Filmklub, korsoerfilmklub;67;67;0;560;7;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Skanderborg Park, skanderborgpark;0;0;0;0;200;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Vejen GF, gymdanmark-vejengymnastik;24588;0;24588;251940;2210;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Grenaa, kod-grenaa;1790;0;1790;33800;85;;;;;;;;;;;;;;;;;;;;;
2025.01.01;LB Dans, lb-dans;5722;5722;0;124521;196;;;;;;;;;;;;;;;;;;;;;
2025.01.01;BG Byggros, bgbyggros;1879;0;1879;9600;191;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Sæby Scenen, saeby-scenen;320;0;320;5000;25;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Gladsaxe Børnefilmklub, gladfilm;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Voerladegård Borgerforening, voerladegaard-borgerf;290;0;290;26820;402;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hedensted Kommune, hedenstedkommune-l2;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Floradania, floradania;0;0;0;0;1182;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Laurbjerg, kod-laurbjerg;877;0;877;7910;86;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Fishing Zealand, fishingzealand;1405;0;1405;17480;133;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Herlev Skolebio, herlevskolebio;45;45;0;480;5;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Rikke, rikke;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Loppemarked i Bella, bc-loppemarked;546;0;546;942250;897;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Vin & Co. Middelfart ApS, vincomiddelfartaps;384;0;384;122772;642;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Naturstyrelsen, naturstyrelsen;79090;0;79090;3154500;520;;;;;;;;;;;;;;;;;;;;;
2025.01.01;VM Dans, vmdans;63584;0;63584;885928;8700;;;;;;;;;;;;;;;;;;;;;
