Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Filmklubben Oskar, filmklubben-oskar-glumsoe;1750;1750;0;26100;181;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Myggens, myggens;3986;0;3986;78303;171;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Lukket 2024-01-10 11:29:26, atelier-nedlukket;11;11;0;250;1;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Skanderborg Børnefilmklub, skanderborg-boernefilmk;5076;5076;0;44826;565;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Slettes -Horsens Legeland, slettes-horsenslegeland;5083;0;5083;62276;946;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Bilka Slagelse, bilkaslagelse;99;0;99;0;11;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Børnebiffen Ebeltoft, boernebiffenebeltoft;2118;2106;12;23450;236;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Ebberup, kod-ebberup;2946;0;2946;57200;128;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Horsens Skolebio, horsensskolebio;17638;0;17638;234390;8789;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Baghuset LIVE, baghusetlive;64420;0;64420;766907;3687;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Hindsholm Skyttecenter, hindsholmskyttecenter;2798;0;2798;48000;192;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Hørkram Foodservice A/S, horkram;0;0;0;0;7961;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Holstebro, kod-holstebro;7935;0;7935;136000;456;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Growing Trees Network, growingtrees;0;0;0;0;221;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Gammel Dansk , gammeldansk;6548;0;6548;50720;872;;;;;;;;;;;;;;;;;;;;;
2024.01.01;SOSU Esbjerg, sosuesbjerg;153;0;153;0;17;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danske Destinationer, wwwdanskedestinationer;0;0;0;0;42;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Tid til tur, tidtiltur;0;0;0;0;18;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Event Vestfyn, eventvestfyn;613;0;613;9385;51;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Liber Vin, liber-vin;669;0;669;11180;54;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Thisted, kod-thisted;2540;0;2540;48800;109;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Hadsund Børnefilmklub, hadsund-boernefilmklub;1895;1895;0;21320;219;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Home Opera, homeopera;3119;0;3119;62230;137;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Bredstrup-Pjedsted-Revyen, bredstrup-pjedsted-revy;732;0;732;12410;50;;;;;;;;;;;;;;;;;;;;;
2024.01.01;MeetDenmark, meetdenmark;0;0;0;0;26;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Dance Beat Studios, dbs;2519;2519;0;113069;82;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Aalborg, kod-aalborg;1366;0;1366;139900;258;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Svendborg Gymnastikforening, gymdanmark-svendborgg;14113;0;14113;259005;3103;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Haveselskabets Livsstilsmesse 2023, haveselskabets;7744;0;7744;115015;1898;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic Opus Horsens, scandic-opus-horsens;0;0;0;0;147;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lyngby Guiderne, lyngbyguiderne;0;0;0;0;86;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Bredstrup-Pjedsted-Revyen, bredstrup-pjedsted-revy;1035;0;1035;35137;103;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Restauranter & Cafeer (DRC), thehost;315;0;315;7962;74;;;;;;;;;;;;;;;;;;;;;
2023.01.01;CIFF KIDS, ciff-kids;0;0;0;0;2500;;;;;;;;;;;;;;;;;;;;;
2023.01.01;FDF Gl. Rye, fdfglrye;477;0;477;30150;136;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Jette Steen, scandichotels-cmt;0;0;0;0;123;;;;;;;;;;;;;;;;;;;;;
2023.01.01;gnisten-musikværketry, gnisten-musikvaerketry;23285;3202;20083;429775;2214;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Egmont Højskolen, egmonthoejskolen;2980;0;2980;85450;227;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Svendborg Skolebio, svendborg-skolebio;10888;10888;0;231288;1831;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Herning, kod-herning;1815;0;1815;114675;272;;;;;;;;;;;;;;;;;;;;;
2023.01.01;TUI--, nomoretui;0;0;0;0;176;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Naturstyrelsen Fiskekort, nst-fiskekort;4532;0;4532;289380;439;;;;;;;;;;;;;;;;;;;;;
2023.01.01;VeloDays Ballerup, slettes-velodaysballerup;7915;0;7915;92072;1093;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Bryllup.dk, bryllupdk;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lasse Skriver - Velgørenhedskoncert , lasseskriver;0;0;0;0;131;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ovartaci, ovartaci;2642;2642;0;38400;152;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Haderslev, kod-haderslev;503;0;503;50050;92;;;;;;;;;;;;;;;;;;;;;
2023.01.01;SAS, sas;0;0;0;0;2646;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Aarhus Vocal Festival, aavf;5775;0;5775;808190;1736;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Randers gymnastiske Forening, gymdanmark-rgf;22084;0;22084;390763;4031;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Hindsholm Skyttecenter, hindsholmskyttecenter;1465;0;1465;44500;178;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ribe Domkirke, ribe-domkirke;9179;0;9179;36325;1181;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DRØMMECIRKLER, droemmecirkler;320;0;320;9050;9;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Højskolen på Sicilien, hoejskolen-paa-sicilien;12206;0;12206;1407604;123;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Brøndby IF Women, brondbyifwomen;1990;0;1990;14545;5661;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Yogaikirken, yogaikirken;0;0;0;0;180;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kjellerupegnens Filmklub, kjellerupegnensfilmklub;1014;1014;0;13860;155;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Nordic Bike Shows A/S, acopenhagenbikeshowolde0754;0;0;0;0;77;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Formidlingsbåden Kutlingen, formidlingsbaadenkutli;246;0;246;2100;37;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og dans Svendborg, kod-svendborg;918;0;918;100100;202;;;;;;;;;;;;;;;;;;;;;
2023.01.01;S-Huset, pf;71543;0;71543;1270705;7291;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Det Italienske Kulturinstitut, iiccopenaghen;8729;0;8729;363900;1499;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Videncenter for Folkeoplysning, vifo;4708;0;4708;471904;245;;;;;;;;;;;;;;;;;;;;;
2023.01.01;KFUM og KFUK i Distrikt Aarhus, kfumogkfukidistrik;244;0;244;2950;25;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Spejdercentret Thorup Hede, thoruphede;6798;0;6798;197570;888;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Jægerforbund Kreds 5 Fyn, dj-kreds5;114;0;114;2100;6;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lystrup Svømning, lifsvoem;44214;29184;15029;3344628;3857;;;;;;;;;;;;;;;;;;;;;
2023.01.01;LouiseLtester, louiseltester;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Odsherreds Børne- og Ungdomsfilmklub, odsherredsbo;5870;5870;0;113772;959;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Esbjerg, kod-esbjerg;2355;0;2355;231954;454;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Support Office, supportoffice;0;0;0;0;1538;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Korsør Filmklub, korsoerfilmklub;1940;1940;0;33824;427;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Aalborg Skiklub, aalborgskiklub;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danske Ølentusiaster, aledk;68582;0;68582;2911335;9476;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Slettes Aarhus Julemarked, slettes-aarhusjulemarke;22220;0;22220;882591;359;;;;;;;;;;;;;;;;;;;;;
2023.01.01;VEJEN DANSEFORENING, vejendanseforening-1m;2859;0;2859;55875;397;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Glostrup Filmklub For Børn og Unge, glostrupfilmkl;2694;2694;0;54515;442;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Ebberup, kod-ebberup;1633;0;1633;94165;286;;;;;;;;;;;;;;;;;;;;;
2023.01.01;BarbAros, barbaros;5980;0;5980;65400;729;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Landsforeningen Spor, spor;640;0;640;1215;409;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Jægerforbund Kreds 7, dj-kreds7;2761;0;2761;88800;436;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Provsteforening, provsteforeningen;2312;0;2312;220000;108;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Rock på Heden - Herning og Holstebro, rock-paa-hed;1697;0;1697;266830;213;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Charity for Cancer, charityfocancer;0;0;0;0;57;;;;;;;;;;;;;;;;;;;;;
2023.01.01;royalunibrew-inhouse, royalunibrew-inhouse;0;0;0;0;379;;;;;;;;;;;;;;;;;;;;;
2023.01.01;InstallatørPartner, inp;739;0;739;14381;55;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Dancecamps & Nordic Ball, stokkebroe;13250;0;13250;1265675;551;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Out In October, outinoctober;5264;0;5264;184450;639;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Aabenraa Børne- og Ungdomsfilmklub, aabuf;1450;1450;0;35859;241;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Randers, kod-randers;1136;0;1136;73800;199;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Copenhagen Bike Show, copenhagenbikeshow;1747;0;1747;133984;125;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Varde, kod-varde;439;0;439;45620;95;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lægedage 2024, laegedage;0;0;0;0;141;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Billetsalget, billetsalget;38107;0;38107;5543180;60173;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ejendomsselskabet Olav de Linde A/S, olavdelinde;0;0;0;0;269;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Support Mombasa, support-mombasa;335;335;0;15280;11;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Holstebro, kod-holstebro;2898;0;2898;161200;463;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Wonderful Copenhagen, wonderful-copenhagen;0;0;0;0;107;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Copenhagen Gaming Week , copenhagengamingweek;8;0;8;800;8;;;;;;;;;;;;;;;;;;;;;
2023.01.01;TeamGym Aarhus, gymdanmark-tga;17619;0;17619;334220;3255;;;;;;;;;;;;;;;;;;;;;
2023.01.01;JH Events, jhevents;15240;0;15240;531400;2547;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Louise tester, louisetester;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Meetingplace, meetingplace;0;0;0;0;160;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Bridgeforbund, dbf;24982;0;24982;1331975;2413;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lukket 2024-01-10 11:29:26, atelier-nedlukket;2255;821;1434;136250;130;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Naturstyrelsen Blåvandshuk, nst-blaavandshuk;6327;0;6327;186470;975;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Gladsaxe Børnefilmklub, gladfilm;5220;5220;0;91160;857;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Bornholms Motor Veteraner, veteranrally;2377;0;2377;165360;164;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Netavisen Pio, netavisenpio;0;0;0;0;26;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Grenaa, kod-grenaa;1321;0;1321;62807;218;;;;;;;;;;;;;;;;;;;;;
2023.01.01;CLASHcph, clashcph;177;0;177;800;20;;;;;;;;;;;;;;;;;;;;;
2023.01.01;TRAPHOLT, trapholt;39359;26331;13027;1163317;5651;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Haderslev Jægerforening, haderslev-jaegerforening;477;0;477;20075;28;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Jul i DSB, jul-i-dsb;0;0;0;0;13088;;;;;;;;;;;;;;;;;;;;;
2023.01.01;RaceClub - Oktoberfestival, oktoberfestival;1275;0;1275;106000;451;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lina Quarto, linaquarto;134;0;134;3200;1;;;;;;;;;;;;;;;;;;;;;
2023.01.01;De Danske Danseskoler, ddd;264727;14660;250067;4197365;32366;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Det Grå Fyr, detgraafyr;1408;480;928;28594;292;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Slagelse Børnefilmklub, sbif;1326;1326;0;31240;215;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Aabybro, kod-aabybro;833;0;833;78055;172;;;;;;;;;;;;;;;;;;;;;
2023.01.01;SOSU Esbjerg, sosuesbjerg;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;
2023.01.01;FDF Brabrand, fdfbrabrand;33;0;33;650;9;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Slettes-Amager Butikkerne, slettes-amagerbutikkern;0;0;0;0;46;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Gjesing Kirke, gjesingkirke;3593;0;3593;25700;3178;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Autentico, autentico;542;0;542;18300;94;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Outdoor365, outdoor365;0;0;0;0;115;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Filmklubben Hanen & Hønen, filmklubben-hanen-hoene;1576;1576;0;25800;259;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Roskilde og Omegns Lystfiskerklub ROLK, rolk;697;0;697;14590;114;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Siim City Singers, siim-city-singers;796;0;796;5900;118;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kravlingprisen 2023, kravlingprisen2023;0;0;0;0;43;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og dans Ringkøbing, kod-ringkoebing;426;0;426;47050;95;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kulturteamet i Wonderful Copenhagen, kultur;0;0;0;0;166;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Patrick's Poltearbend, patrickspoltearbend;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Dansk Projektledelse, danskprojektledelse;0;0;0;0;111;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Aalborg Kongres & Kultur Center, danfish;19;0;19;906;340;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Nordisk Dyrepark, nordiskdyrepark;302;0;302;5115;21;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Sorgenfri Kirke, sorgenfrikirkedk;6685;658;6027;97155;834;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Perfect Waste, perfectwaste;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Børnebif Vordingborg, boernebif-vordingborg;2318;2318;0;59600;397;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Kolding, kod-kolding;1685;0;1685;118350;319;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Floradania, floradania;0;0;0;0;1565;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danske Børne- og Ungdomsfilmklubber, dabuf;1047;0;1047;222700;156;;;;;;;;;;;;;;;;;;;;;
2023.01.01;MeetDenmark, meetdenmark;0;0;0;0;19;;;;;;;;;;;;;;;;;;;;;
2023.01.01;RU Hospitality, royalunibrew;0;0;0;0;7425;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic Sluseholmen, scandicsluseholmen;595;0;595;15550;424;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DDD-Medlemsforeninger, ddd-medlemsforeninger;0;0;0;0;95;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Vejle, kod-vejle;1301;0;1301;118075;284;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Hønseringen, hoenseringen;6637;6630;7;297610;1111;;;;;;;;;;;;;;;;;;;;;
2023.01.01;PFA Seniorforum, pfaseniorforum;68;0;68;12450;83;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Dante Alighieri Odense, dante-odense;2537;394;2143;47500;286;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Jagt-jakt.dk, jagt-jaktdk;201;0;201;10638;60;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ribe Jagtforening, ribejagtforening;82;0;82;2700;9;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ældresagen Demo, aeldresagen-demo;8;0;8;55;1;;;;;;;;;;;;;;;;;;;;;
2023.01.01;VM Dans, vmdans;55615;0;55615;1115593;8948;;;;;;;;;;;;;;;;;;;;;
2023.01.01;JÆGERRÅDET i Varde Kommune, jaegerraadetivardekomm;227;0;227;3200;32;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Home Opera, homeopera;594;0;594;34200;50;;;;;;;;;;;;;;;;;;;;;
2023.01.01;event IT Support, support;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Odense, kod-odense;950;0;950;64170;209;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Integra Energy Partners, integraenergypartners;0;0;0;0;38;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Roskilde , kod-roskilde;785;0;785;71775;177;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Biffen Odder, biffen-odder;6048;4371;1677;143342;869;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danmarks Jægerforbund, dj-aktiviteter;21572;0;21572;718437;4049;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Sørensen Læder A/S, soerensenlaeder;549;0;549;0;203;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Copenhagen Marriott Hotel, copenhagenmarriotthotel;0;0;0;0;18;;;;;;;;;;;;;;;;;;;;;
2023.01.01;The Whisky 'n' Rum Show, whiskynrum;6296;0;6296;164961;987;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic Copenhagen, scandiccopenhagen;0;0;0;0;121;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Dante Alighieri Aarhus, dante-alighieri-aarhus;4820;1484;3336;211875;416;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Grenaa Amatørteater, grenaa-amatoerteater;3397;0;3397;68850;459;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Skanderborg Børnefilmklub, skanderborg-boernefilmk;3438;3438;0;56900;577;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Giants Rollespils forening, giantsrollespilsforeni;0;0;0;0;32;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Bjerringbro, kom-og-dans-bjerringbro;19;0;19;650;2;;;;;;;;;;;;;;;;;;;;;
2023.01.01;GIF-Gymnastik Gladsaxe, gymdanmark-gifgymnastik;23875;0;23875;313505;4025;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Cph Travel Lab, cphtravellab;0;0;0;0;78;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Horsens Skolebio, horsensskolebio;10701;0;10701;237120;9035;;;;;;;;;;;;;;;;;;;;;
2023.01.01;TUBA, tuba;856;0;856;52400;79;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Copenhagen Comics, copenhagencomics;12504;0;12504;198075;1953;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Frederikshavn Badminton, fbk;3417;3417;0;236383;188;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Slettes - Svaneke Børnefilmklub, slettes-svanekebo;88;0;88;1200;11;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Filosofilærerforeningen for Gymnasium og HF, filos;1644;366;1278;154500;45;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic CPH Strandpark, scandiccphstrandpark;0;0;0;0;97;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Hjørring Inner Wheel Klub, hjoerring-inner-wheel;663;0;663;24350;70;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Haveselskabet Hjørring, haveselskabet-hjoerring;894;0;894;9925;95;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Tinget, slagmarkfyn;779;0;779;42345;66;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic Glostrup, scandicglostrup;495;0;495;24500;25;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Vivild Jagtforening, vivildjagtforening;53;0;53;2500;5;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Group Bornholm ApS, strikbornholm;3748;0;3748;128820;170;;;;;;;;;;;;;;;;;;;;;
2023.01.01;KFUM-spejderne Kaløvig Gruppe, kaloevigkfum;365;0;365;32510;120;;;;;;;;;;;;;;;;;;;;;
2023.01.01;El Cambio Academy, eca;602;0;602;58750;20;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Børnenes Bioklub, boernenesbioklub;1650;1650;0;31920;275;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Bjerringbro, kod-bjerringbro;508;0;508;47400;105;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Youth choir Aarhus U, aarhusu;5574;0;5574;54530;634;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DJ Kreds 3, dj-kreds3;401;0;401;7750;62;;;;;;;;;;;;;;;;;;;;;
2023.01.01;VeloDays Vejle, slettes-velodaysvejle;7032;0;7032;81145;1400;;;;;;;;;;;;;;;;;;;;;
2023.01.01;FDF Odense 14 Ansgar, fdfodenseansgar;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Muehlhan Wind Service, muehlhanwindservice;0;0;0;0;64;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Lisbjerg Fritidsliv, lisbjerg-fritidsliv;1902;1902;0;97566;205;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Italien Information Service AS, iis;21161;0;21161;2455720;218;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Jules - Dedicated To dance, dedicatedtodance;9933;9813;119;673786;416;;;;;;;;;;;;;;;;;;;;;
2023.01.01;FDF Lunderskov, fdflunderskov;7;7;0;600;0;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Frichsparkens Erhvervsklub, frichsparken;0;0;0;0;141;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Naturstyrelsen, naturstyrelsen;76294;0;76294;3047000;528;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Laurbjerg, kod-laurbjerg;742;0;742;13185;161;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DUF – Dansk Ungdoms Fællesråd, duf;6312;0;6312;142700;715;;;;;;;;;;;;;;;;;;;;;
2023.01.01;CIFF - Copenhagen International Fashion Fair, ciff;191;0;191;40715;10401;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DJ Kreds 2, dj-kreds2;721;0;721;21060;117;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Familien Brøndby - Bevar Brøndby IF, familienbroen;1823;0;1823;30500;244;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Birkerød Filmklub for Børn og Unge, birkeroedfilmk;6322;6322;0;157350;1069;;;;;;;;;;;;;;;;;;;;;
2023.01.01;DJ Kreds 1, dj-kreds1;5484;0;5484;95995;800;;;;;;;;;;;;;;;;;;;;;
2023.01.01;CarPeople Danmark ApS, carpeopledanmarkaps;0;0;0;0;131;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Silkeborg, kod-silkeborg;2549;0;2549;133725;374;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Scandic Sydhavnen, scandicsydhavnen;0;0;0;0;36;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Anders Kobberup, akobberup;236;0;236;43;49;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Golf-event, golf-event;1893;0;1893;183600;68;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ørsted, orsted;2788;0;2788;399500;1751;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Et Godt Hundeliv, etgodthundeliv;1499;0;1499;92745;112;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Vorupør Jagtforening, voruporjagtforening;7;0;7;40;0;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Kom og Dans Sæby, kod-saeby;707;0;707;75350;139;;;;;;;;;;;;;;;;;;;;;
2023.01.01;SuperBrugsen Lystrup, sblystrup;209;0;209;1550;144;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Viborg Børne- og Ungdomsfilmklub, viborgfilmklub;6293;6293;0;149060;1047;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Ellevang Kirke, ellevang;6103;0;6103;88590;800;;;;;;;;;;;;;;;;;;;;;
2023.01.01;WondAros, wondaroschorus;1843;0;1843;16200;232;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Springteam Sæby, gymdanmark-teamgymsaeby;9344;0;9344;180895;1746;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Danske Destinationer, wwwdanskedestinationer;0;0;0;0;90;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Slettes -Horsens Legeland, slettes-horsenslegeland;15762;0;15762;405340;4554;;;;;;;;;;;;;;;;;;;;;
2023.01.01;event IT, eventit;18;18;0;0;30;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Farum Gymnastikforening, gymdanmark-farumgymnastik;40310;0;40310;560100;6925;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Husets Børnefilmklub, husets-boernefilmklub;1930;1930;0;37800;324;;;;;;;;;;;;;;;;;;;;;
2023.01.01;Udviklingsselskabet Carlsberg Byen P/S, udviklings;0;0;0;0;160;;;;;;;;;;;;;;;;;;;;;
